task,split,seed,method,example_id,sequence_length,query_pos,reference_delta,target_delta,target_pos,label_token,target_probability,target_rank,top1_hit,top1_confidence,chosen_pos,chosen_delta,chosen_token,chosen_bias
phase_cued_retrieval,test,317,no_position,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,100,0.0,1.0,0,63,58,0.0
phase_cued_retrieval,test,317,no_position,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,0,63,23,0.0
phase_cued_retrieval,test,317,no_position,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,16,0.0,1.0,0,63,24,0.0
phase_cued_retrieval,test,317,no_position,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,25,0.0,1.0,0,63,65,0.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_000,24,23,16,16,7,69,1.0,1,1.0,1.0,7,16,69,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_001,24,23,19,19,4,79,1.0,1,1.0,1.0,4,19,79,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_002,24,23,5,5,18,72,1.0,1,1.0,1.0,18,5,72,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_003,24,23,7,7,16,81,1.0,1,1.0,1.0,16,7,81,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_004,24,23,8,8,15,89,1.0,1,1.0,1.0,15,8,89,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L24_005,24,23,11,11,12,99,1.0,1,1.0,1.0,12,11,99,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_000,32,31,19,19,12,48,1.0,1,1.0,1.0,12,19,48,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_001,32,31,5,29,2,65,0.0,66,0.0,1.0,26,5,30,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_002,32,31,7,7,24,50,1.0,1,1.0,1.0,24,7,50,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_003,32,31,8,8,23,58,1.0,1,1.0,1.0,23,8,58,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_004,32,31,11,11,20,68,1.0,1,1.0,1.0,20,11,68,1.0
phase_cued_retrieval,train,317,sinusoidal,phase_cued_retrieval_train_seed317_L32_005,32,31,12,12,19,76,1.0,1,1.0,1.0,19,12,76,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_000,40,39,5,29,10,34,0.0,36,0.0,1.0,2,37,62,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_001,40,39,7,31,8,43,0.0,44,0.0,1.0,0,39,13,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_002,40,39,8,32,7,51,0.0,52,0.0,1.0,31,8,47,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_003,40,39,11,35,4,61,1.0,1,1.0,1.0,28,11,61,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_004,40,39,12,36,3,69,0.0,70,0.0,1.0,27,12,20,1.0
phase_cued_retrieval,validation,317,sinusoidal,phase_cued_retrieval_validation_seed317_L40_005,40,39,16,16,23,56,1.0,1,1.0,1.0,23,16,56,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_000,48,47,7,31,16,12,0.0,14,0.0,1.0,8,39,41,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_001,48,47,8,32,15,20,0.0,21,0.0,1.0,7,40,6,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_002,48,47,11,35,12,30,0.0,32,0.0,1.0,4,43,91,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_003,48,47,12,36,11,38,0.0,39,0.0,1.0,3,44,24,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_004,48,47,16,40,7,49,0.0,51,0.0,1.0,31,16,111,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L48_005,48,47,19,43,4,59,0.0,61,0.0,1.0,28,19,111,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_000,64,63,11,59,4,104,0.0,105,0.0,1.0,20,43,87,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_001,64,63,12,60,3,0,0.0,2,0.0,1.0,19,44,59,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,100,0.0,1.0,15,48,81,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,12,51,21,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,16,0.0,1.0,26,37,15,1.0
phase_cued_retrieval,test,317,sinusoidal,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,24,0.0,1.0,24,39,16,1.0
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_000,24,23,16,16,7,69,0.0,70,0.0,1.0,22,1,32,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_001,24,23,19,19,4,79,0.0,81,0.0,1.0,22,1,109,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_002,24,23,5,5,18,72,0.0,74,0.0,1.0,22,1,79,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_003,24,23,7,7,16,81,0.0,82,0.0,1.0,22,1,40,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_004,24,23,8,8,15,89,0.0,90,0.0,1.0,22,1,43,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L24_005,24,23,11,11,12,99,0.0,100,0.0,1.0,22,1,92,-0.043478
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_000,32,31,19,19,12,48,0.0,49,0.0,1.0,30,1,3,-0.032258
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_001,32,31,5,29,2,65,0.0,66,0.0,1.0,30,1,55,-0.032258
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_002,32,31,7,7,24,50,0.0,52,0.0,1.0,30,1,101,-0.032258
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_003,32,31,8,8,23,58,0.0,59,0.0,1.0,30,1,40,-0.032258
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_004,32,31,11,11,20,68,0.0,70,0.0,1.0,30,1,80,-0.032258
phase_cued_retrieval,train,317,alibi,phase_cued_retrieval_train_seed317_L32_005,32,31,12,12,19,76,0.0,78,0.0,1.0,30,1,107,-0.032258
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_000,40,39,5,29,10,34,0.0,36,0.0,1.0,38,1,95,-0.025641
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_001,40,39,7,31,8,43,0.0,45,0.0,1.0,38,1,92,-0.025641
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_002,40,39,8,32,7,51,0.0,53,0.0,1.0,38,1,79,-0.025641
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_003,40,39,11,35,4,61,0.0,62,0.0,1.0,38,1,57,-0.025641
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_004,40,39,12,36,3,69,0.0,70,0.0,1.0,38,1,16,-0.025641
phase_cued_retrieval,validation,317,alibi,phase_cued_retrieval_validation_seed317_L40_005,40,39,16,16,23,56,0.0,57,0.0,1.0,38,1,10,-0.025641
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_000,48,47,7,31,16,12,0.0,14,0.0,1.0,46,1,109,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_001,48,47,8,32,15,20,0.0,21,0.0,1.0,46,1,3,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_002,48,47,11,35,12,30,0.0,31,0.0,1.0,46,1,20,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_003,48,47,12,36,11,38,0.0,40,0.0,1.0,46,1,66,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_004,48,47,16,40,7,49,0.0,51,0.0,1.0,46,1,83,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L48_005,48,47,19,43,4,59,0.0,60,0.0,1.0,46,1,5,-0.021277
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_000,64,63,11,59,4,104,0.0,105,0.0,1.0,62,1,8,-0.015873
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_001,64,63,12,60,3,0,0.0,2,0.0,1.0,62,1,13,-0.015873
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,101,0.0,1.0,62,1,111,-0.015873
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,62,1,76,-0.015873
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,16,0.0,1.0,62,1,103,-0.015873
phase_cued_retrieval,test,317,alibi,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,25,0.0,1.0,62,1,73,-0.015873
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_000,24,23,16,16,7,69,1.0,1,1.0,1.0,7,16,69,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_001,24,23,19,19,4,79,1.0,1,1.0,1.0,4,19,79,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_002,24,23,5,5,18,72,1.0,1,1.0,1.0,18,5,72,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_003,24,23,7,7,16,81,1.0,1,1.0,1.0,16,7,81,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_004,24,23,8,8,15,89,1.0,1,1.0,1.0,15,8,89,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L24_005,24,23,11,11,12,99,1.0,1,1.0,1.0,12,11,99,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_000,32,31,19,19,12,48,1.0,1,1.0,1.0,12,19,48,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_001,32,31,5,29,2,65,0.0,66,0.0,1.0,26,5,30,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_002,32,31,7,7,24,50,1.0,1,1.0,1.0,24,7,50,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_003,32,31,8,8,23,58,1.0,1,1.0,1.0,23,8,58,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_004,32,31,11,11,20,68,1.0,1,1.0,1.0,20,11,68,1.0
phase_cued_retrieval,train,317,rope_relative,phase_cued_retrieval_train_seed317_L32_005,32,31,12,12,19,76,1.0,1,1.0,1.0,19,12,76,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_000,40,39,5,29,10,34,0.0,35,0.0,1.0,34,5,22,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_001,40,39,7,31,8,43,0.0,45,0.0,1.0,32,7,46,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_002,40,39,8,32,7,51,0.0,52,0.0,1.0,31,8,47,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_003,40,39,11,35,4,61,1.0,1,1.0,1.0,28,11,61,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_004,40,39,12,36,3,69,0.0,70,0.0,1.0,27,12,20,1.0
phase_cued_retrieval,validation,317,rope_relative,phase_cued_retrieval_validation_seed317_L40_005,40,39,16,16,23,56,1.0,1,1.0,1.0,23,16,56,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_000,48,47,7,31,16,12,0.0,14,0.0,1.0,40,7,31,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_001,48,47,8,32,15,20,0.0,22,0.0,1.0,39,8,45,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_002,48,47,11,35,12,30,0.0,32,0.0,1.0,36,11,75,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_003,48,47,12,36,11,38,0.0,40,0.0,1.0,35,12,102,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_004,48,47,16,40,7,49,0.0,51,0.0,1.0,31,16,111,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L48_005,48,47,19,43,4,59,0.0,61,0.0,1.0,28,19,111,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_000,64,63,11,59,4,104,0.0,105,0.0,1.0,52,11,41,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_001,64,63,12,60,3,0,0.0,2,0.0,1.0,51,12,7,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,101,0.0,1.0,47,16,111,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,44,19,16,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,16,0.0,1.0,58,5,88,1.0
phase_cued_retrieval,test,317,rope_relative,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,25,0.0,1.0,56,7,63,1.0
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_000,24,23,16,16,7,69,0.0,71,0.0,1.0,2,21,100,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_001,24,23,19,19,4,79,0.0,80,0.0,1.0,9,14,60,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_002,24,23,5,5,18,72,0.0,73,0.0,1.0,13,10,3,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_003,24,23,7,7,16,81,0.0,82,0.0,1.0,11,12,63,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_004,24,23,8,8,15,89,0.0,90,0.0,1.0,20,3,30,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L24_005,24,23,11,11,12,99,0.0,100,0.0,1.0,17,6,13,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_000,32,31,19,19,12,48,0.0,49,0.0,1.0,17,14,9,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_001,32,31,5,29,2,65,0.0,66,0.0,1.0,7,24,62,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_002,32,31,7,7,24,50,0.0,51,0.0,1.0,5,26,18,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_003,32,31,8,8,23,58,0.0,60,0.0,1.0,28,3,85,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_004,32,31,11,11,20,68,0.0,69,0.0,1.0,25,6,12,2.44949
phase_cued_retrieval,train,317,phasewrap_bias,phase_cued_retrieval_train_seed317_L32_005,32,31,12,12,19,76,0.0,77,0.0,1.0,24,7,53,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_000,40,39,5,29,10,34,0.0,36,0.0,1.0,15,24,104,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_001,40,39,7,31,8,43,0.0,45,0.0,1.0,13,26,86,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_002,40,39,8,32,7,51,0.0,53,0.0,1.0,36,3,98,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_003,40,39,11,35,4,61,0.0,62,0.0,1.0,33,6,16,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_004,40,39,12,36,3,69,0.0,71,0.0,1.0,32,7,107,2.44949
phase_cued_retrieval,validation,317,phasewrap_bias,phase_cued_retrieval_validation_seed317_L40_005,40,39,16,16,23,56,0.0,58,0.0,1.0,18,21,103,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_000,48,47,7,31,16,12,0.0,14,0.0,1.0,21,26,98,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_001,48,47,8,32,15,20,0.0,22,0.0,1.0,44,3,62,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_002,48,47,11,35,12,30,0.0,32,0.0,1.0,41,6,49,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_003,48,47,12,36,11,38,0.0,40,0.0,1.0,6,41,55,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_004,48,47,16,40,7,49,0.0,51,0.0,1.0,2,45,75,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L48_005,48,47,19,43,4,59,0.0,60,0.0,1.0,33,14,11,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_000,64,63,11,59,4,104,0.0,105,0.0,1.0,57,6,103,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_001,64,63,12,60,3,0,0.0,2,0.0,1.0,8,55,29,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,100,0.0,1.0,18,45,16,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,49,14,96,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,15,0.0,1.0,15,48,9,2.44949
phase_cued_retrieval,test,317,phasewrap_bias,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,25,0.0,1.0,3,60,37,2.44949
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_000,24,23,16,16,7,69,0.0,71,0.0,1.0,2,21,100,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_001,24,23,19,19,4,79,0.0,80,0.0,1.0,9,14,60,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_002,24,23,5,5,18,72,0.0,73,0.0,1.0,13,10,3,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_003,24,23,7,7,16,81,0.0,82,0.0,1.0,11,12,63,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_004,24,23,8,8,15,89,0.0,90,0.0,1.0,20,3,30,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L24_005,24,23,11,11,12,99,0.0,100,0.0,1.0,17,6,13,2.395142
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_000,32,31,19,19,12,48,0.0,49,0.0,1.0,17,14,9,2.409167
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_001,32,31,5,29,2,65,0.0,67,0.0,1.0,21,10,70,2.409167
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_002,32,31,7,7,24,50,0.0,51,0.0,1.0,19,12,41,2.409167
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_003,32,31,8,8,23,58,0.0,60,0.0,1.0,28,3,85,2.409167
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_004,32,31,11,11,20,68,0.0,69,0.0,1.0,25,6,12,2.409167
phase_cued_retrieval,train,317,phasewrap_adapter,phase_cued_retrieval_train_seed317_L32_005,32,31,12,12,19,76,0.0,77,0.0,1.0,24,7,53,2.409167
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_000,40,39,5,29,10,34,0.0,35,0.0,1.0,29,10,12,2.417438
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_001,40,39,7,31,8,43,0.0,45,0.0,1.0,27,12,110,2.417438
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_002,40,39,8,32,7,51,0.0,53,0.0,1.0,36,3,98,2.417438
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_003,40,39,11,35,4,61,0.0,62,0.0,1.0,33,6,16,2.417438
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_004,40,39,12,36,3,69,0.0,71,0.0,1.0,32,7,107,2.417438
phase_cued_retrieval,validation,317,phasewrap_adapter,phase_cued_retrieval_validation_seed317_L40_005,40,39,16,16,23,56,0.0,58,0.0,1.0,18,21,103,2.417438
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_000,48,47,7,31,16,12,0.0,14,0.0,1.0,35,12,66,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_001,48,47,8,32,15,20,0.0,22,0.0,1.0,44,3,62,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_002,48,47,11,35,12,30,0.0,32,0.0,1.0,41,6,49,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_003,48,47,12,36,11,38,0.0,40,0.0,1.0,40,7,41,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_004,48,47,16,40,7,49,0.0,51,0.0,1.0,26,21,69,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L48_005,48,47,19,43,4,59,0.0,60,0.0,1.0,33,14,11,2.422894
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_000,64,63,11,59,4,104,0.0,105,0.0,1.0,57,6,103,2.429648
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_001,64,63,12,60,3,0,0.0,2,0.0,1.0,56,7,83,2.429648
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_002,64,63,16,40,23,99,0.0,101,0.0,1.0,42,21,101,2.429648
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_003,64,63,19,43,20,109,0.0,110,0.0,1.0,49,14,96,2.429648
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_004,64,63,5,53,10,14,0.0,16,0.0,1.0,53,10,43,2.429648
phase_cued_retrieval,test,317,phasewrap_adapter,phase_cued_retrieval_test_seed317_L64_005,64,63,7,55,8,23,0.0,25,0.0,1.0,51,12,75,2.429648
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_000,24,23,16,16,7,83,0.0,84,0.0,1.0,0,23,11,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_001,24,23,19,19,4,93,0.0,94,0.0,1.0,0,23,20,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_002,24,23,5,5,18,86,0.0,87,0.0,1.0,0,23,1,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_003,24,23,7,7,16,95,0.0,96,0.0,1.0,0,23,15,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_004,24,23,8,8,15,103,0.0,104,0.0,1.0,0,23,90,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L24_005,24,23,11,11,12,1,0.0,3,0.0,1.0,0,23,75,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_000,32,31,19,19,12,62,0.0,63,0.0,1.0,0,31,48,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_001,32,31,5,29,2,79,0.0,80,0.0,1.0,0,31,16,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_002,32,31,7,7,24,64,0.0,66,0.0,1.0,0,31,66,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_003,32,31,8,8,23,72,0.0,73,0.0,1.0,0,31,57,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_004,32,31,11,11,20,82,0.0,83,0.0,1.0,0,31,57,0.0
phase_cued_retrieval,train,331,no_position,phase_cued_retrieval_train_seed331_L32_005,32,31,12,12,19,90,0.0,92,0.0,1.0,0,31,100,0.0
phase_cued_retrieval,validation,331,no_position,phase_cued_retrieval_validation_seed331_L40_000,40,39,5,29,10,48,0.0,49,0.0,1.0,0,39,5,0.0
phase_cued_retrieval,validation,331,no_position,phase_cued_retrieval_validation_seed331_L40_001,40,39,7,31,8,57,0.0,59,0.0,1.0,0,39,91,0.0
phase_cued_retrieval,validation,331,no_position,phase_cued_retrieval_validation_seed331_L40_002,40,39,8,32,7,65,0.0,67,0.0,1.0,0,39,95,0.0
phase_cued_retrieval,validation,331,no_position,phase_cued_retrieval_validation_seed331_L40_003,40,39,11,35,4,75,0.0,77,0.0,1.0,0,39,91,0.0
phase_cued_retrieval,validation,331,no_position,phase_cued_retrieval_validation_seed331_L40_004,40,39,12,36,3,83,0.0,84,0.0,1.0,0,39,60,0.0
